第1位,第2位,第3位,第4位,第5位（预留）,第6位（预留）,补充说明,备注
系统_1,,,,,,,
用户_2,,,,,,,
用户_2,登录_1,,,,,,
用户_2,登录_1,用户密码_1,,,,,
用户_2,登录_1,用户密码_1,名称_1,,,,
用户_2,登录_1,用户密码_1,密码_2,,,,
用户_2,登录_1,邮箱_2,,,,,
用户_2,登录_1,邮箱_2,地址非法_1,,,,
用户_2,上传_2,,,,,,
用户_2,上传_2,文件_1,,,,,
用户_2,上传_2,文件_1,exe_1,,,不支持exe上传,
用户_2,上传_2,文件_1,1g_1,,,超过1g不能上传,
供应商_3,,,,,,,
供应商_3,腾讯云_3,,,,,,
供应商_3,腾讯云_3,桶_1,,,,,
供应商_3,腾讯云_3,桶_1,创建_1,,,,
供应商_3,腾讯云_3,桶_1,查询_2,,,,
供应商_3,腾讯云_3,桶_1,删除_3,,,,
供应商_3,腾讯云_3,对象_2,,,,,
供应商_3,腾讯云_3,对象_2,创建_1,,,,
供应商_3,腾讯云_3,对象_2,查询_2,,,,
供应商_3,腾讯云_3,对象_2,删除_3,,,,
供应商_3,腾讯云_3,对象_2,上传_4,,,,
供应商_3,腾讯云_3,对象_2,下载_5,,,,
